,title,article_url
47,[閒聊] 參加Chaumet活動的NewJeans Hanni,https://www.ptt.cc/bbs/KoreaStar/M.1691490235.A.0BA.html
48,[閒聊] NewJeans在Lollapalooza節演唱了12首歌,https://www.ptt.cc/bbs/KoreaStar/M.1691251085.A.BF8.html
49,[閒聊] NewJeans是不是有史以來 開局最好的女團?,https://www.ptt.cc/bbs/KoreaStar/M.1691249966.A.0A4.html
50,[閒聊] NewJeans 這次在美國大紅了,https://www.ptt.cc/bbs/KoreaStar/M.1691164767.A.C91.html
51,[新聞] NewJeans x Lollapalooza音樂節,https://www.ptt.cc/bbs/KoreaStar/M.1691123091.A.0C2.html
52,[新聞] NewJeans取得首張Billboard冠軍專輯,https://www.ptt.cc/bbs/KoreaStar/M.1691037727.A.0A1.html
53,[新聞] NewJeans拿iPhone表演引爭議！「符合MV,https://www.ptt.cc/bbs/KoreaStar/M.1690902623.A.B25.html
54,[閒聊] NewJeans都不太需要上節目了嗎？,https://www.ptt.cc/bbs/KoreaStar/M.1690886369.A.E58.html
55,[新聞] NewJeans出道1年「達20億播放量」破KPOP,https://www.ptt.cc/bbs/KoreaStar/M.1690880979.A.309.html
56,[閒聊] 今天前往美國的NewJeans,https://www.ptt.cc/bbs/KoreaStar/M.1690803598.A.D5A.html
57,[閒聊] 昨天 (7/28) NewJeans穿的名牌服裝等級,https://www.ptt.cc/bbs/KoreaStar/M.1690723940.A.4C0.html
58,[新聞] NewJeans接「蘋果手機」廣告遭轟不愛國！,https://www.ptt.cc/bbs/KoreaStar/M.1690687689.A.338.html
59,[閒聊] NewJeans今天音銀上班路,https://www.ptt.cc/bbs/KoreaStar/M.1690527617.A.A4D.html
60,"[新聞] NewJeans""Get Up""首周銷量突破165萬張",https://www.ptt.cc/bbs/KoreaStar/M.1690514659.A.D72.html
61,[新聞] 沒死亡行程 NewJeans每天可睡10小時以上,https://www.ptt.cc/bbs/KoreaStar/M.1690471457.A.DE2.html
62,[新聞] NewJeans奪一位！ HAERIN獨自淡定對比其,https://www.ptt.cc/bbs/KoreaStar/M.1690467292.A.29D.html
63,[閒聊] NewJeans惠仁看到粉絲染金髮後說的話,https://www.ptt.cc/bbs/KoreaStar/M.1690450248.A.B0C.html
64,[新聞] 網友看不懂NewJeans《ETA》MV！導演親回,https://www.ptt.cc/bbs/KoreaStar/M.1690385633.A.3B1.html
65,"[新聞] NewJeans金髮精靈慵懶的音色  ""ASAP""MV",https://www.ptt.cc/bbs/KoreaStar/M.1690374041.A.9D7.html
66,[新聞] NewJeans在新EP中採用車庫舞曲元素,https://www.ptt.cc/bbs/KoreaStar/M.1690359274.A.5B7.html
67,[閒聊] NewJeans 'ASAP' MV,https://www.ptt.cc/bbs/KoreaStar/M.1690298626.A.8D8.html
68,[閒聊] 感受到全球歌曲有變短趨勢的NewJeans新專,https://www.ptt.cc/bbs/KoreaStar/M.1690293584.A.C31.html
69,[閒聊] 拯救口誤的音銀MC的NewJeans惠仁,https://www.ptt.cc/bbs/KoreaStar/M.1690277720.A.FDD.html
70,[新聞] 年齡爆擊！NewJeans聽手機電池可拆震驚！,https://www.ptt.cc/bbs/KoreaStar/M.1690213383.A.F30.html
71,[閒聊] IU Palette受到稱讚的NewJeans成員,https://www.ptt.cc/bbs/KoreaStar/M.1690204488.A.709.html
72,[新聞] NewJeans新專輯殺入美Spotify日榜創KPOP女團紀錄,https://www.ptt.cc/bbs/KoreaStar/M.1690192537.A.F06.html
73,[閒聊] 海外樂評針對NewJeans新專輯評論,https://www.ptt.cc/bbs/KoreaStar/M.1690189089.A.1CE.html
74,[閒聊] NewJeans Hanni融化無數女粉絲的心,https://www.ptt.cc/bbs/KoreaStar/M.1690172980.A.219.html
75,[閒聊] NewJeans Minji最近好像換了妝髮造型,https://www.ptt.cc/bbs/KoreaStar/M.1690127899.A.038.html
76,[閒聊] 人氣歌謠NewJeans 'Super Shy'1位安可舞台,https://www.ptt.cc/bbs/KoreaStar/M.1690103436.A.A81.html
77,[閒聊] NewJeans Hyein照片在推特轉發突破2萬次,https://www.ptt.cc/bbs/KoreaStar/M.1690041505.A.71E.html
78,[閒聊] NewJeans專輯實體,https://www.ptt.cc/bbs/KoreaStar/M.1690039768.A.81F.html
79,[新聞] NewJeans連三作賣破百萬張 摘音樂節目冠軍,https://www.ptt.cc/bbs/KoreaStar/M.1690035592.A.8D1.html
80,[新聞] NewJeans出道一週年 成長所帶來的獨特,https://www.ptt.cc/bbs/KoreaStar/M.1690035184.A.B21.html
81,"[閒聊] NewJeans 新歌 ""ETA"" MV （theqoo韓評）",https://www.ptt.cc/bbs/KoreaStar/M.1689911894.A.1AD.html
82,[新聞] NewJeans迷你二輯《Get Up》預售172萬,https://www.ptt.cc/bbs/KoreaStar/M.1689911790.A.F8A.html
83,[閒聊] 梁朝偉無償現身在 NewJeans MV :我想呈,https://www.ptt.cc/bbs/KoreaStar/M.1689836286.A.615.html
84,[新聞] 梁朝偉0片酬出演NewJeans MV,https://www.ptt.cc/bbs/KoreaStar/M.1689832437.A.FB5.html
85,"[閒聊] NewJeans ‘Cool With You’ MV解讀,韓評",https://www.ptt.cc/bbs/KoreaStar/M.1689822558.A.839.html
86,[新聞] (雷)OOO驚喜客串NewJeans最新MV衝上熱搜！,https://www.ptt.cc/bbs/KoreaStar/M.1689783500.A.171.html
87,"[閒聊] NewJeans ""Cool With You"" MV(theqoo韓評)",https://www.ptt.cc/bbs/KoreaStar/M.1689778833.A.4D7.html
88,[新聞] NewJeans再登告示牌HOT 100榜刷新自身紀錄,https://www.ptt.cc/bbs/KoreaStar/M.1689775624.A.318.html
89,"[閒聊] BTS V,鄭好娟遭目擊拍攝NewJeans MV...",https://www.ptt.cc/bbs/KoreaStar/M.1689774027.A.9D8.html
90,[閒聊] 在NewJeans畫報留「嗯..」Starship本部長,https://www.ptt.cc/bbs/KoreaStar/M.1689512925.A.546.html
91,[閒聊] NewJeans 'Super Shy' Perfect-All-Kill,https://www.ptt.cc/bbs/KoreaStar/M.1689476564.A.D73.html
92,[閒聊] NewJeans Danielle雙丸子頭vs.all back馬尾頭,https://www.ptt.cc/bbs/KoreaStar/M.1689433329.A.FF2.html
93,[閒聊] 覺得能展現NewJeans Center形象的成員是？,https://www.ptt.cc/bbs/KoreaStar/M.1689429767.A.3B1.html
94,[閒聊] 在'Super Shy'MV中因為髮型讓形象大轉變的兩位NewJeans成員,https://www.ptt.cc/bbs/KoreaStar/M.1689424905.A.26D.html
95,[閒聊] Starship本部長在NewJeans照片留言「嗯.,https://www.ptt.cc/bbs/KoreaStar/M.1689254179.A.6BB.html
96,[新聞] STARSHIP部長被抓包偷嘴NEWJEANS？韓網轟,https://www.ptt.cc/bbs/KoreaStar/M.1689165718.A.3B5.html
97,[閒聊] NewJeans所有音放舞台中觀看次數最高舞台,https://www.ptt.cc/bbs/KoreaStar/M.1689076874.A.4D9.html
98,[閒聊] 《Vogue Korea》NewJeans Minji 8月號畫報+影片,https://www.ptt.cc/bbs/KoreaStar/M.1688901962.A.5C7.html
99,[新聞] NewJeans新曲再度橫掃排行榜!「不只佔領音源榜」MV火速破千,https://www.ptt.cc/bbs/KoreaStar/M.1688819424.A.BAF.html
100,[閒聊] NewJeans新發行歌曲歌詞韓文字數,https://www.ptt.cc/bbs/KoreaStar/M.1688745588.A.FB8.html
101,"[閒聊] NewJeans 新歌""Super Shy"" MV",https://www.ptt.cc/bbs/KoreaStar/M.1688702291.A.021.html
102,[閒聊] NewJeans先行Intro - New Jeans MV,https://www.ptt.cc/bbs/KoreaStar/M.1688655675.A.F0F.html
103,[閒聊] NewJeans新歌編舞抄襲無限挑戰？(開玩笑的,https://www.ptt.cc/bbs/KoreaStar/M.1688486245.A.C11.html
104,[閒聊] 本人真的很漂亮的NewJeans Haerin,https://www.ptt.cc/bbs/KoreaStar/M.1688293240.A.BF7.html
105,[閒聊] NewJeans Fan Meeting新歌'ETA'首次發表,https://www.ptt.cc/bbs/KoreaStar/M.1688216068.A.D58.html
106,[閒聊] NewJeans x Nike Football 最新畫報,https://www.ptt.cc/bbs/KoreaStar/M.1688101201.A.0E3.html
107,[新聞] NewJeans出演IU的Palette,https://www.ptt.cc/bbs/KoreaStar/M.1688032625.A.E71.html
108,[閒聊] NewJeans玟池參加Chanel快閃活動的新聞,https://www.ptt.cc/bbs/KoreaStar/M.1687962313.A.E58.html
109,[閒聊] 令人瘋狂的NewJeans新專輯配置,https://www.ptt.cc/bbs/KoreaStar/M.1687960399.A.FA4.html
110,"[閒聊] NewJeans 第二張EP""Get Up""宣傳照",https://www.ptt.cc/bbs/KoreaStar/M.1687881573.A.963.html
111,[新聞] NewJeans 在ASAP預告影片美貌引人著迷,https://www.ptt.cc/bbs/KoreaStar/M.1687794458.A.981.html
112,[閒聊] NewJeans Haerin最近讓人驚艷的造型,https://www.ptt.cc/bbs/KoreaStar/M.1687535932.A.466.html
113,[情報] NewJeans x 飛天小女警 新EP回歸,https://www.ptt.cc/bbs/KoreaStar/M.1687148112.A.4ED.html
114,[閒聊] NewJeans麥當勞聯名包裝實體,https://www.ptt.cc/bbs/KoreaStar/M.1685621687.A.93B.html
115,[閒聊] (G)I-DLE&NewJeans售票活動年齡&性別分佈,https://www.ptt.cc/bbs/KoreaStar/M.1685118029.A.BB8.html
116,[新聞] NewJeans x 麥當勞套餐 台灣10/25,https://www.ptt.cc/bbs/KoreaStar/M.1685082614.A.1FE.html
117,[新聞] NewJeans7/7發先行曲，專輯7月下旬發行,https://www.ptt.cc/bbs/KoreaStar/M.1684802157.A.659.html
118,[閒聊] NewJeans Danielle是透過試鏡入選配音,https://www.ptt.cc/bbs/KoreaStar/M.1683893907.A.7E1.html
119,[閒聊] NewJeans Danielle《小美人魚》MV預告公開,https://www.ptt.cc/bbs/KoreaStar/M.1683890349.A.5BD.html
120,[情報] NewJeans 1st Fan meeting'Bunnies Camp',https://www.ptt.cc/bbs/KoreaStar/M.1683858770.A.290.html
121,[新聞] NewJeans最快達10億播放量 破吉尼斯世界,https://www.ptt.cc/bbs/KoreaStar/M.1683732140.A.014.html
122,[閒聊] 長得像NewJeans Haerin的鄭雄仁二女兒,https://www.ptt.cc/bbs/KoreaStar/M.1683387838.A.01A.html
123,[新聞] 《小美人魚》配音是NewJeans成員！韓網吵翻：怎麼選的,https://www.ptt.cc/bbs/KoreaStar/M.1683192297.A.F62.html
124,[閒聊] NewJeans Danielle為小美人魚配音,https://www.ptt.cc/bbs/KoreaStar/M.1682994007.A.23A.html
125,"[閒聊] ""像NewJeans一樣""... 國中女生也要追求D",https://www.ptt.cc/bbs/KoreaStar/M.1682677905.A.857.html
126,[閒聊] NewJeans Haerin被Dior選為全球珠寶大使,https://www.ptt.cc/bbs/KoreaStar/M.1682494440.A.CE8.html
127,[閒聊] NewJeans Haerin登《Vogue》數位封面,https://www.ptt.cc/bbs/KoreaStar/M.1682402574.A.ADF.html
128,[新聞] 廣場前熱跳《Hype Boy》NewJeans真的出現,https://www.ptt.cc/bbs/KoreaStar/M.1681211922.A.EFC.html
129,[新聞] NewJeans 休閒造型也散發著光彩的美貌,https://www.ptt.cc/bbs/KoreaStar/M.1681168147.A.958.html
130,[閒聊] newjeans的zero是不是有點像,https://www.ptt.cc/bbs/KoreaStar/M.1681144755.A.CF2.html
131,[新聞] 李世榮戴著兔子帽散發可愛..涉獵NewJeans,https://www.ptt.cc/bbs/KoreaStar/M.1680821173.A.DCD.html
132,[閒聊] 香奈兒送給NewJeans Minji的禮物,https://www.ptt.cc/bbs/KoreaStar/M.1680694382.A.941.html
133,Re: [情報] NewJeans X 可口可樂,https://www.ptt.cc/bbs/KoreaStar/M.1680515406.A.01F.html
134,[情報] NewJeans X 可口可樂,https://www.ptt.cc/bbs/KoreaStar/M.1680184944.A.EB8.html
135,[閒聊] NewJeans Ditto從去年12月開始在Melon TOP100的成績,https://www.ptt.cc/bbs/KoreaStar/M.1680006060.A.E02.html
136,[閒聊] NewJeans Bunnies Club招募中,https://www.ptt.cc/bbs/KoreaStar/M.1679874771.A.D69.html
137,[閒聊] 跳NewJeans OMG的邕聖祐 (feat. 偶像,https://www.ptt.cc/bbs/KoreaStar/M.1679576135.A.862.html
138,[閒聊] NewJeans Danielle <Vogue> Burberry 畫報 影片,https://www.ptt.cc/bbs/KoreaStar/M.1679392121.A.C2A.html
139,[新聞] NewJeans《Ditto》連續13週第1，創18年,https://www.ptt.cc/bbs/KoreaStar/M.1679368130.A.E9D.html
140,[閒聊] 無法反駁的NewJeans的根源曲,https://www.ptt.cc/bbs/KoreaStar/M.1678359659.A.EED.html
141,[閒聊] NewJeans Hyein出席LV時裝秀,https://www.ptt.cc/bbs/KoreaStar/M.1678115877.A.FE9.html
142,[閒聊] 被麥當勞XNewJeans的Fanart釣魚的沉著男,https://www.ptt.cc/bbs/KoreaStar/M.1678105387.A.E10.html
143,[閒聊] NewJeans 成為LEVI'S的全球大使,https://www.ptt.cc/bbs/KoreaStar/M.1678084521.A.EE9.html
144,[閒聊] 53歲的金元萱cover NewJeans 'Hype Boy',https://www.ptt.cc/bbs/KoreaStar/M.1678031448.A.1DF.html
145,[閒聊] NewJeans髮型師最近幫諧潾弄的特別的髮型,https://www.ptt.cc/bbs/KoreaStar/M.1677840422.A.548.html
146,[閒聊] 今天cover NewJeans Hype boy 的柳真,https://www.ptt.cc/bbs/KoreaStar/M.1677332660.A.F1B.html
147,[新聞] 女團NewJeans成麥當勞南韓公司代言人,https://www.ptt.cc/bbs/KoreaStar/M.1677312401.A.063.html
148,[閒聊] 參加Gucci米蘭時裝週NewJeans HANNI,https://www.ptt.cc/bbs/KoreaStar/M.1677302783.A.24C.html
149,[新聞] NewJeans參與幫助土耳其和敘利亞…捐贈2,https://www.ptt.cc/bbs/KoreaStar/M.1676590975.A.123.html
150,[閒聊] NewJeans MINJI Chanel新大使,https://www.ptt.cc/bbs/KoreaStar/M.1676299552.A.37A.html
151,[閒聊] 夫碩順X NewJeans Hanni Haerin 'OMG'挑戰,https://www.ptt.cc/bbs/KoreaStar/M.1676208890.A.42A.html
152,[新聞] NewJeans Minji遇無禮粉絲酸「鼻子哪做,https://www.ptt.cc/bbs/KoreaStar/M.1675770656.A.2DB.html
153,[閒聊] 被說是自拍高手的NewJeans 諧潾,https://www.ptt.cc/bbs/KoreaStar/M.1675253029.A.4BA.html
154,[閒聊] 金在煥在演唱會上跳NewJeans的OMG,https://www.ptt.cc/bbs/KoreaStar/M.1675174745.A.71F.html
155,[閒聊] NewJeans在Music Bank獲得第二名時Danie,https://www.ptt.cc/bbs/KoreaStar/M.1674901546.A.C16.html
156,[閒聊] NewJeans X LG Gram筆電,https://www.ptt.cc/bbs/KoreaStar/M.1674812445.A.4F6.html
157,[閒聊] BTS第8年取得的成就... NewJeans在6個月,https://www.ptt.cc/bbs/KoreaStar/M.1674738939.A.B83.html
158,[新聞] BTS第8年取得的成就 NewJeans在出道6個後,https://www.ptt.cc/bbs/KoreaStar/M.1674733397.A.D44.html
159,[情報] NewJeans的“OMG”首次進入Billboard的H,https://www.ptt.cc/bbs/KoreaStar/M.1674602213.A.97F.html
160,"[新聞] NewJeans，向""財閥家小女兒""展開的花路",https://www.ptt.cc/bbs/KoreaStar/M.1674487333.A.36F.html
161,[閒聊] NewJeans Danielle道歉文,https://www.ptt.cc/bbs/KoreaStar/M.1674284980.A.C30.html
