中文課程名稱
教育資料探勘專題製作
教育大數據專題製作
專業實習
人力資源資訊系統
企業員工生涯管理研究
科技專案管理
計算機概論
工業科技教育概論
基本設計
人力資源發展概論
電腦影像處理
電子電路
機械製造
木工製造
作業系統
組織行為
網際網路概論
色彩學
電腦輔助製圖
訓練需求與成效評估
程式語言
展示設計
多媒體教材設計與製作
資料庫系統
電腦網路原理與實作
產品設計
生活科技科教學實習（一）（教）
產品分析與企劃
虛擬實境設計
專題製作（二）
專題製作（二）
專題製作（二）
專題製作（二）
專題製作（二）
電腦輔助設計與製造
