中文課程名稱
能源與動力
統計學
專業實習
人力資源資訊系統
薪酬設計與績效管理
工業科技教育概論
基本設計
電子電路
人力資源發展概論
計算機概論
電腦影像處理
機械製造
木工製造
作業系統
工業安全與衛生
網際網路概論
色彩學
電腦輔助製圖
訓練需求與成效評估
程式語言
展示設計
機構設計
多媒體教材設計與製作
金屬產品設計與製作
資料庫系統
電腦網路原理與實作
產品設計
生活科技科教學實習（一）（教）
產品分析與企劃
虛擬實境設計
專題製作（二）
專題製作（二）
專題製作（二）
專題製作（二）
專題製作（二）
電腦輔助設計與製造
